EmployeeID,FirstName,LastName,Email,Gender,Age,Department,JobTitle,Salary,HireDate,Location
1020,Thomas,Vasquez,thomas.vasquez@corp.com,Male,52,Customer Service,Call Center Operator,94601,2017-12-23,Chicago
1021,Ashley,Ali,ashley.ali@corp.com,Male,54,IT,System Administrator,72880,2022-07-07,Boston
1022,Roberta,Cook,roberta.cook@corp.com,Male,59,Operations,Inventory Specialist,56133,2014-02-24,New York
1023,Emily,Freeman,emily.freeman@corp.com,Female,44,Finance,Financial Analyst,58891,2016-02-20,Seattle
1024,Karen,Williams,karen.williams@corp.com,Other,36,HR,Recruiter,117659,2022-12-26,Chicago
1025,Joseph,Lucero,joseph.lucero@corp.com,Female,54,Customer Service,Support Agent,50403,2023-09-30,Seattle
1026,Sydney,Garcia,sydney.garcia@corp.com,Male,59,Finance,Financial Analyst,114820,2011-06-05,Seattle
1027,Stephanie,Lam,stephanie.lam@corp.com,Male,54,Marketing,SEO Specialist,66891,2025-03-29,Seattle
1028,David,Johnston,david.johnston@corp.com,Male,32,Finance,Accountant,77681,2014-09-25,Seattle
1029,Samantha,Leblanc,samantha.leblanc@corp.com,Other,59,HR,HR Assistant,65696,2022-06-15,Seattle
1030,Margaret,Jenkins,margaret.jenkins@corp.com,Male,58,IT,System Administrator,55708,2021-05-09,Seattle
1031,Brittany,Long,brittany.long@corp.com,Male,49,Sales,Sales Analyst,86323,2014-12-06,New York
1032,John,King,john.king@corp.com,Other,45,Operations,Logistics Coordinator,107892,2019-11-12,San Francisco
1033,Michael,Hill,michael.hill@corp.com,Female,23,Marketing,SEO Specialist,84802,2022-02-18,Denver
1034,Danny,Bates,danny.bates@corp.com,Other,51,Customer Service,Customer Service Rep,78689,2013-08-06,Chicago
1035,Brian,Joseph,brian.joseph@corp.com,Male,27,Operations,Logistics Coordinator,92560,2010-12-03,Denver
1036,Jeffrey,Thomas,jeffrey.thomas@corp.com,Other,52,Finance,Accountant,82288,2025-07-08,New York
1037,Melissa,Marshall,melissa.marshall@corp.com,Other,46,Sales,Account Manager,85952,2020-01-28,New York
1038,Ariana,Olson,ariana.olson@corp.com,Female,39,Marketing,SEO Specialist,109955,2016-02-07,Seattle
1039,John,Brady,john.brady@corp.com,Other,37,Operations,Logistics Coordinator,57707,2019-06-08,Seattle
1040,Jeffrey,Johnson,jeffrey.johnson@corp.com,Female,52,Customer Service,Call Center Operator,93237,2011-12-22,Denver
1041,Jordan,Shields,jordan.shields@corp.com,Male,22,Customer Service,Call Center Operator,71934,2024-09-29,Austin
1042,Kenneth,Williams,kenneth.williams@corp.com,Other,32,Operations,Logistics Coordinator,62748,2024-09-23,New York
1043,Patricia,Mata,patricia.mata@corp.com,Female,59,Operations,Operations Manager,99359,2014-08-12,Seattle
1044,Matthew,Olson,matthew.olson@corp.com,Male,39,HR,Recruiter,82532,2014-11-17,New York
1045,Steven,Boyd,steven.boyd@corp.com,Female,39,Customer Service,Call Center Operator,46613,2019-08-07,Denver
1046,Nicholas,Gutierrez,nicholas.gutierrez@corp.com,Female,36,Customer Service,Call Center Operator,103095,2025-04-14,Austin
1047,Christopher,Donovan,christopher.donovan@corp.com,Female,42,Marketing,Content Strategist,65221,2013-02-02,Chicago
1048,David,Richardson,david.richardson@corp.com,Female,35,HR,HR Assistant,60112,2013-06-01,Austin
1049,Matthew,Smith,matthew.smith@corp.com,Female,25,Operations,Inventory Specialist,89146,2013-11-10,Boston
1050,Jeremy,Zimmerman,jeremy.zimmerman@corp.com,Other,53,Marketing,Content Strategist,117694,2018-05-09,San Francisco
1051,Brian,Murray,brian.murray@corp.com,Other,26,Operations,Logistics Coordinator,46839,2018-03-13,Boston
1052,Joshua,Saunders,joshua.saunders@corp.com,Female,34,Sales,Sales Analyst,60883,2015-09-26,Seattle
1053,Melissa,Li,melissa.li@corp.com,Female,26,Sales,Sales Executive,104487,2017-01-05,Chicago
1054,Jacob,Mitchell,jacob.mitchell@corp.com,Other,56,Operations,Operations Manager,86276,2020-04-03,Austin
1055,Heather,Cobb,heather.cobb@corp.com,Male,26,Finance,Financial Analyst,83494,2021-11-28,New York
1056,Jamie,Phillips,jamie.phillips@corp.com,Other,46,Operations,Operations Manager,63507,2022-01-31,New York
1057,Paul,Maxwell,paul.maxwell@corp.com,Other,24,Customer Service,Customer Service Rep,115538,2016-01-24,New York
1058,Charles,Foley,charles.foley@corp.com,Female,40,HR,HR Manager,96744,2022-12-09,New York
1059,Elizabeth,Cuevas,elizabeth.cuevas@corp.com,Female,27,Sales,Sales Analyst,72747,2020-10-30,New York
1060,Bradley,Wong,bradley.wong@corp.com,Other,51,Marketing,SEO Specialist,58809,2017-03-16,Boston
1061,Joshua,Haynes,joshua.haynes@corp.com,Female,25,IT,DevOps Engineer,57741,2018-08-06,Seattle
1062,Sandra,Livingston,sandra.livingston@corp.com,Male,41,Operations,Inventory Specialist,101772,2018-02-24,Austin
1063,Paul,Wagner,paul.wagner@corp.com,Female,56,Customer Service,Call Center Operator,99513,2013-02-26,New York
1064,Debra,Moore,debra.moore@corp.com,Male,22,HR,HR Manager,102686,2013-08-08,San Francisco
1065,Carla,Cox,carla.cox@corp.com,Other,34,Customer Service,Call Center Operator,119601,2014-03-11,Seattle
1066,William,Johnson,william.johnson@corp.com,Other,44,Sales,Sales Executive,98867,2020-12-24,Seattle
1067,Jenny,Jackson,jenny.jackson@corp.com,Other,22,Marketing,SEO Specialist,109632,2019-03-13,San Francisco
1068,Misty,Foster,misty.foster@corp.com,Male,55,Finance,Accountant,43866,2015-12-28,New York
1069,Chelsea,West,chelsea.west@corp.com,Male,26,Operations,Inventory Specialist,58659,2014-04-01,Seattle
1070,Gregory,Mathews,gregory.mathews@corp.com,Male,26,Sales,Sales Analyst,56546,2023-08-27,Austin
1071,Anthony,Lopez,anthony.lopez@corp.com,Other,33,Finance,Payroll Specialist,53112,2024-11-13,New York
1072,James,Valentine,james.valentine@corp.com,Other,58,Customer Service,Customer Service Rep,60071,2011-12-04,Austin
1073,Susan,Rogers,susan.rogers@corp.com,Male,51,HR,HR Manager,79240,2015-06-21,Boston
1074,Karen,Kennedy,karen.kennedy@corp.com,Other,45,Finance,Financial Analyst,51492,2013-05-19,Austin
1075,Christian,Garcia,christian.garcia@corp.com,Female,51,Sales,Sales Analyst,82480,2017-06-14,Denver
1076,Hailey,Wagner,hailey.wagner@corp.com,Male,47,Sales,Sales Executive,118701,2023-03-03,Boston
1077,Arthur,Rowland,arthur.rowland@corp.com,Male,34,IT,Software Engineer,42224,2010-12-28,San Francisco
1078,Norma,Cooper,norma.cooper@corp.com,Other,43,Sales,Sales Executive,86274,2023-11-06,Boston
1079,Ashley,Austin,ashley.austin@corp.com,Male,24,IT,DevOps Engineer,45267,2017-03-06,Austin
1080,Jennifer,Nixon,jennifer.nixon@corp.com,Female,26,Marketing,Content Strategist,110912,2023-07-24,New York
1081,Anna,Willis,anna.willis@corp.com,Male,47,Marketing,Content Strategist,42762,2018-05-16,Seattle
1082,James,Garcia,james.garcia@corp.com,Male,53,Operations,Inventory Specialist,56004,2013-08-15,Denver
1083,Bradley,Maddox,bradley.maddox@corp.com,Other,56,Marketing,SEO Specialist,92320,2021-07-01,Boston
1084,Haley,Guerrero,haley.guerrero@corp.com,Other,29,Finance,Accountant,62070,2016-03-19,San Francisco
1085,Thomas,Robinson,thomas.robinson@corp.com,Male,23,IT,System Administrator,75734,2025-05-23,Denver
1086,Mariah,Mercado,mariah.mercado@corp.com,Female,46,Customer Service,Support Agent,82286,2011-02-10,New York
1087,Ashley,Joseph,ashley.joseph@corp.com,Male,57,HR,HR Assistant,78039,2024-10-25,Seattle
1088,James,Snow,james.snow@corp.com,Female,34,Operations,Logistics Coordinator,116898,2015-01-17,Seattle
1089,Kristopher,Warren,kristopher.warren@corp.com,Male,53,HR,HR Assistant,66726,2020-08-27,Denver
1090,Sandra,Williams,sandra.williams@corp.com,Female,43,IT,Software Engineer,64197,2019-07-21,San Francisco
1091,Sarah,Davis,sarah.davis@corp.com,Female,50,Sales,Sales Analyst,111632,2015-04-19,Seattle
1092,Jeffrey,Barker,jeffrey.barker@corp.com,Other,44,Sales,Sales Executive,70690,2015-02-14,Denver
1093,William,Miller,william.miller@corp.com,Female,57,Marketing,Marketing Manager,87055,2025-01-04,New York
1094,Bryce,Dickerson,bryce.dickerson@corp.com,Male,40,Finance,Financial Analyst,114177,2017-02-26,Austin
1095,Holly,Jennings,holly.jennings@corp.com,Female,31,Finance,Financial Analyst,45334,2013-10-17,Chicago
1096,Joe,Thomas,joe.thomas@corp.com,Other,22,IT,DevOps Engineer,48363,2015-02-04,Chicago
1097,Bruce,Harris,bruce.harris@corp.com,Male,36,Sales,Sales Analyst,114635,2021-06-24,New York
1098,David,Atkins,david.atkins@corp.com,Male,37,IT,Software Engineer,41056,2019-09-03,San Francisco
1099,Lydia,Jensen,lydia.jensen@corp.com,Female,32,Finance,Accountant,55692,2025-05-07,San Francisco
1100,Debra,Herrera,debra.herrera@corp.com,Other,52,IT,Software Engineer,113351,2014-12-28,New York
1101,Elizabeth,Martinez,elizabeth.martinez@corp.com,Other,46,HR,HR Manager,48360,2017-09-02,Chicago
1102,Michael,Gilbert,michael.gilbert@corp.com,Male,36,Operations,Logistics Coordinator,87822,2013-02-19,Seattle
1103,Mary,Jackson,mary.jackson@corp.com,Female,55,Sales,Sales Analyst,48331,2024-02-24,Boston
1104,Randy,Webster,randy.webster@corp.com,Male,45,Finance,Payroll Specialist,78627,2011-05-15,Boston
1105,Ashley,Jackson,ashley.jackson@corp.com,Male,41,Customer Service,Call Center Operator,119138,2022-02-10,Austin
1106,Stephanie,Turner,stephanie.turner@corp.com,Female,44,Sales,Sales Executive,110503,2011-01-03,Boston
1107,Donald,Evans,donald.evans@corp.com,Female,37,Finance,Financial Analyst,89799,2018-06-13,Boston
1108,Stephanie,Li,stephanie.li@corp.com,Other,58,Operations,Operations Manager,49088,2016-12-01,Austin
1109,Kayla,Reyes,kayla.reyes@corp.com,Female,40,HR,HR Assistant,90553,2013-01-18,Boston
1110,Daniel,Gutierrez,daniel.gutierrez@corp.com,Male,26,Operations,Logistics Coordinator,100163,2014-10-07,Chicago
1111,Gregory,Newton,gregory.newton@corp.com,Other,58,Customer Service,Support Agent,113158,2024-10-10,Austin
1112,Arthur,Henderson,arthur.henderson@corp.com,Female,54,Marketing,SEO Specialist,86081,2020-06-18,New York
1113,John,Krause,john.krause@corp.com,Female,30,IT,DevOps Engineer,41689,2024-12-26,Boston
1114,Raymond,Wilson,raymond.wilson@corp.com,Male,50,IT,Software Engineer,72134,2017-10-27,Boston
1115,Robert,Murray,robert.murray@corp.com,Female,54,HR,HR Assistant,94939,2018-02-01,Austin
1116,Anthony,Livingston,anthony.livingston@corp.com,Female,38,Customer Service,Call Center Operator,78832,2013-11-19,Austin
1117,Gary,Love,gary.love@corp.com,Other,30,Customer Service,Call Center Operator,115970,2014-09-25,Boston
1118,James,Hooper,james.hooper@corp.com,Male,28,Marketing,Content Strategist,56161,2022-04-13,San Francisco
1119,John,Smith,john.smith@corp.com,Female,53,Customer Service,Call Center Operator,116747,2021-11-07,Denver
1120,Michael,Robinson,michael.robinson@corp.com,Male,23,Marketing,SEO Specialist,117165,2017-10-17,Chicago
1121,Carl,Gonzalez,carl.gonzalez@corp.com,Other,58,HR,HR Assistant,92014,2016-04-01,Austin
1122,Julie,Hale,julie.hale@corp.com,Female,28,Sales,Account Manager,109892,2024-11-02,Denver
1123,Shane,Lewis,shane.lewis@corp.com,Female,31,Sales,Sales Executive,81904,2021-08-25,Austin
1124,Nancy,Miller,nancy.miller@corp.com,Male,42,Operations,Inventory Specialist,53478,2018-07-17,Denver
1125,John,Williams,john.williams@corp.com,Other,24,HR,Recruiter,93466,2013-09-07,Austin
1126,Dean,Levine,dean.levine@corp.com,Female,35,IT,Software Engineer,57670,2012-06-15,Boston
1127,Christina,Smith,christina.smith@corp.com,Other,50,HR,Recruiter,43789,2011-03-12,Denver
1128,Elizabeth,Zamora,elizabeth.zamora@corp.com,Female,43,HR,HR Assistant,75123,2014-08-17,Seattle
1129,Vincent,Robertson,vincent.robertson@corp.com,Other,30,Finance,Accountant,84332,2024-04-05,Seattle
1130,Jacob,Phelps,jacob.phelps@corp.com,Female,32,Finance,Financial Analyst,65922,2018-08-07,Austin
1131,Courtney,Ruiz,courtney.ruiz@corp.com,Other,35,Customer Service,Call Center Operator,58288,2011-02-05,San Francisco
1132,Patty,Henderson,patty.henderson@corp.com,Male,53,Customer Service,Call Center Operator,88606,2024-07-10,New York
1133,Robert,Payne,robert.payne@corp.com,Male,55,Sales,Sales Executive,49525,2024-09-30,Seattle
1134,Caitlin,Martinez,caitlin.martinez@corp.com,Female,30,Operations,Operations Manager,69072,2024-09-09,San Francisco
1135,John,Pham,john.pham@corp.com,Other,60,Finance,Payroll Specialist,109494,2023-08-29,Chicago
1136,Jennifer,Wagner,jennifer.wagner@corp.com,Female,45,Sales,Sales Analyst,72510,2014-03-26,Chicago
1137,Brandon,Boyd,brandon.boyd@corp.com,Other,46,Finance,Payroll Specialist,66415,2015-10-07,Boston
1138,Adam,Williams,adam.williams@corp.com,Male,41,IT,Software Engineer,92646,2017-01-20,Seattle
1139,Bradley,Juarez,bradley.juarez@corp.com,Male,60,HR,HR Manager,113639,2021-07-04,Chicago
1140,Natalie,Pace,natalie.pace@corp.com,Male,45,Operations,Logistics Coordinator,43892,2018-09-16,Chicago
1141,Christina,Navarro,christina.navarro@corp.com,Male,55,Operations,Inventory Specialist,107172,2012-09-05,Seattle
1142,Samantha,Berry,samantha.berry@corp.com,Female,58,IT,DevOps Engineer,65305,2022-01-08,Austin
1143,Michael,Erickson,michael.erickson@corp.com,Male,55,Customer Service,Customer Service Rep,53762,2014-07-04,Austin
1144,Ronald,Bean,ronald.bean@corp.com,Female,37,HR,HR Assistant,103176,2015-01-21,San Francisco
1145,Lisa,Morris,lisa.morris@corp.com,Female,35,Marketing,Content Strategist,114269,2013-12-14,Chicago
1146,Thomas,Carr,thomas.carr@corp.com,Other,35,Finance,Financial Analyst,97404,2013-09-08,Denver
1147,Rebecca,Dixon,rebecca.dixon@corp.com,Male,60,Operations,Logistics Coordinator,91889,2023-04-27,Seattle
1148,Lindsay,Smith,lindsay.smith@corp.com,Female,39,Operations,Operations Manager,67359,2011-08-01,San Francisco
1149,Andrea,Obrien,andrea.obrien@corp.com,Other,34,Marketing,Marketing Manager,65381,2020-01-27,New York
1150,Brittney,Hendricks,brittney.hendricks@corp.com,Male,32,IT,Software Engineer,82501,2025-01-07,Austin
1151,Stephen,Schmitt,stephen.schmitt@corp.com,Female,48,IT,DevOps Engineer,88253,2018-11-28,San Francisco
1152,Jay,Chen,jay.chen@corp.com,Other,54,HR,HR Assistant,115407,2017-12-12,Boston
1153,Julie,Davis,julie.davis@corp.com,Female,29,IT,DevOps Engineer,104351,2022-04-17,Austin
1154,Ricky,Wallace,ricky.wallace@corp.com,Female,56,Finance,Payroll Specialist,58767,2021-11-08,Denver
1155,Thomas,Gomez,thomas.gomez@corp.com,Female,33,Operations,Logistics Coordinator,83008,2022-03-19,Denver
1156,Maria,Glenn,maria.glenn@corp.com,Other,39,IT,DevOps Engineer,60350,2016-11-16,Boston
1157,Karen,Oneill,karen.oneill@corp.com,Female,39,Sales,Sales Analyst,87473,2013-09-01,Seattle
1158,Donald,Martin,donald.martin@corp.com,Male,52,Sales,Sales Executive,101299,2025-05-24,Denver
1159,Vincent,Simmons,vincent.simmons@corp.com,Male,22,Operations,Inventory Specialist,59281,2016-04-22,Chicago
1160,Victoria,Carter,victoria.carter@corp.com,Female,41,HR,Recruiter,86629,2010-10-23,Seattle
1161,Stacy,King,stacy.king@corp.com,Other,58,HR,Recruiter,84240,2017-08-12,Chicago
1162,Scott,Cunningham,scott.cunningham@corp.com,Female,43,Marketing,SEO Specialist,54135,2011-07-06,New York
1163,Christopher,Hall,christopher.hall@corp.com,Other,43,Operations,Logistics Coordinator,43085,2012-04-24,Chicago
1164,Austin,Maldonado,austin.maldonado@corp.com,Other,47,Finance,Financial Analyst,57956,2023-01-18,New York
1165,Alexander,Barnett,alexander.barnett@corp.com,Male,57,Operations,Inventory Specialist,45104,2022-12-31,Denver
1166,Kevin,Hayes,kevin.hayes@corp.com,Other,46,Finance,Payroll Specialist,91071,2024-08-30,New York
1167,Brianna,Boyle,brianna.boyle@corp.com,Female,53,HR,HR Manager,47804,2022-11-21,Chicago
1168,Heather,Williams,heather.williams@corp.com,Male,34,Customer Service,Customer Service Rep,114383,2015-01-22,Austin
1169,Anna,Martin,anna.martin@corp.com,Other,22,Sales,Sales Executive,48836,2022-06-23,Chicago
1170,Roger,Lee,roger.lee@corp.com,Male,32,Customer Service,Support Agent,73136,2016-02-02,New York
1171,Maria,Beasley,maria.beasley@corp.com,Female,54,Finance,Accountant,110117,2024-10-28,New York
1172,Chris,Garcia,chris.garcia@corp.com,Female,56,HR,HR Manager,77777,2013-03-10,Boston
1173,Patricia,Roy,patricia.roy@corp.com,Other,43,Marketing,Content Strategist,95877,2017-10-09,Denver
1174,Tamara,Parker,tamara.parker@corp.com,Other,58,Customer Service,Customer Service Rep,97898,2021-06-19,Boston
1175,Louis,Allen,louis.allen@corp.com,Female,44,Customer Service,Support Agent,99258,2021-12-27,Austin
1176,Ronald,Benson,ronald.benson@corp.com,Female,22,Finance,Financial Analyst,106890,2016-10-12,Seattle
1177,Nathan,Jenkins,nathan.jenkins@corp.com,Male,60,Operations,Operations Manager,61058,2010-07-21,Boston
1178,Lisa,Mann,lisa.mann@corp.com,Other,24,IT,System Administrator,98258,2021-07-10,San Francisco
1179,Samuel,Mcneil,samuel.mcneil@corp.com,Other,37,Marketing,SEO Specialist,51724,2012-01-20,Boston
1180,Michelle,Washington,michelle.washington@corp.com,Other,22,IT,DevOps Engineer,56253,2022-10-01,San Francisco
1181,Stacy,Pratt,stacy.pratt@corp.com,Female,37,IT,Software Engineer,103078,2013-07-03,Chicago
1182,Martha,Brown,martha.brown@corp.com,Male,60,Customer Service,Support Agent,54209,2019-03-25,New York
1183,Kelly,Davis,kelly.davis@corp.com,Other,57,IT,System Administrator,46535,2014-09-14,Austin
1184,Fernando,Black,fernando.black@corp.com,Male,57,Sales,Account Manager,42584,2020-01-17,Austin
1185,Jacqueline,Burke,jacqueline.burke@corp.com,Female,37,Customer Service,Customer Service Rep,61049,2017-05-18,New York
1186,Brady,Figueroa,brady.figueroa@corp.com,Other,24,Marketing,SEO Specialist,44163,2014-01-07,Denver
1187,Justin,Davidson,justin.davidson@corp.com,Female,26,Sales,Sales Executive,89259,2020-06-13,Denver
1188,Adam,Smith,adam.smith@corp.com,Other,57,HR,Recruiter,77913,2012-05-13,Denver
1189,Bradley,Barber,bradley.barber@corp.com,Female,52,Customer Service,Call Center Operator,54912,2019-06-09,San Francisco
1190,Adam,Larson,adam.larson@corp.com,Female,39,Sales,Account Manager,45130,2011-01-09,Chicago
1191,Katherine,Ferguson,katherine.ferguson@corp.com,Female,33,IT,DevOps Engineer,57124,2022-10-22,New York
1192,Michael,Greer,michael.greer@corp.com,Male,52,HR,HR Manager,54160,2014-02-01,San Francisco
1193,Rachael,Bentley,rachael.bentley@corp.com,Female,60,Operations,Inventory Specialist,115467,2013-12-12,Boston
1194,Melissa,Armstrong,melissa.armstrong@corp.com,Other,48,Sales,Sales Executive,106627,2020-03-18,Boston
1195,Brandon,Strickland,brandon.strickland@corp.com,Male,45,Sales,Sales Executive,106681,2015-07-30,Chicago
1196,Jeffrey,Jones,jeffrey.jones@corp.com,Other,58,Marketing,Content Strategist,41139,2014-11-08,Austin
1197,Donald,Hogan,donald.hogan@corp.com,Other,40,HR,HR Manager,91198,2023-09-24,Seattle
1198,Kyle,Kelley,kyle.kelley@corp.com,Male,47,Customer Service,Support Agent,44391,2017-09-12,San Francisco
1199,Evelyn,Flores,evelyn.flores@corp.com,Other,34,Customer Service,Support Agent,75881,2019-12-13,San Francisco
1200,Joseph,Peterson,joseph.peterson@corp.com,Male,56,Marketing,Content Strategist,78928,2011-11-16,San Francisco
1201,Amber,Baker,amber.baker@corp.com,Other,55,Finance,Accountant,98742,2021-06-13,Chicago
1202,John,Smith,john.smith@corp.com,Female,26,IT,Software Engineer,117952,2014-11-03,Boston
1203,Christian,Ware,christian.ware@corp.com,Male,42,Customer Service,Call Center Operator,115495,2015-03-16,Austin
1204,Jennifer,Davis,jennifer.davis@corp.com,Female,54,Operations,Logistics Coordinator,90583,2021-06-08,Chicago
1205,Katie,Adams,katie.adams@corp.com,Male,33,Sales,Sales Executive,67738,2015-08-14,San Francisco
1206,Jessica,Bolton,jessica.bolton@corp.com,Other,31,Finance,Accountant,43832,2013-07-15,Austin
1207,Samantha,Foley,samantha.foley@corp.com,Female,23,Sales,Sales Executive,53427,2016-11-08,Boston
1208,Cathy,Fernandez,cathy.fernandez@corp.com,Male,29,IT,System Administrator,68959,2014-01-23,Boston
1209,Ernest,Johnston,ernest.johnston@corp.com,Female,37,IT,DevOps Engineer,58709,2024-05-22,Austin
1210,Tonya,Morris,tonya.morris@corp.com,Male,34,HR,HR Assistant,66292,2021-03-12,San Francisco
1211,Sharon,Singh,sharon.singh@corp.com,Male,31,Finance,Financial Analyst,119209,2022-08-11,San Francisco
1212,Heather,Barajas,heather.barajas@corp.com,Male,28,HR,HR Manager,100833,2021-01-14,Chicago
1213,Timothy,Davis,timothy.davis@corp.com,Other,37,Marketing,Marketing Manager,99909,2013-08-31,Austin
1214,Jennifer,Day,jennifer.day@corp.com,Male,39,Customer Service,Support Agent,103875,2013-02-13,Austin
1215,Joseph,Burns,joseph.burns@corp.com,Other,40,Finance,Payroll Specialist,53411,2019-03-25,Austin
1216,Melissa,Hill,melissa.hill@corp.com,Other,38,Operations,Inventory Specialist,72119,2014-09-11,Austin
1217,Jessica,Conley,jessica.conley@corp.com,Female,58,Customer Service,Support Agent,79566,2023-02-11,Chicago
1218,Eric,Parker,eric.parker@corp.com,Male,45,Sales,Sales Analyst,119859,2011-06-24,Austin
1219,Tara,Mckinney,tara.mckinney@corp.com,Female,51,Sales,Sales Executive,116030,2016-01-14,San Francisco
1220,Mary,Baker,mary.baker@corp.com,Male,30,Sales,Sales Executive,110248,2017-12-09,Chicago
1221,Michael,Gordon,michael.gordon@corp.com,Male,59,Operations,Operations Manager,58452,2012-03-30,New York
1222,John,Martinez,john.martinez@corp.com,Male,55,Operations,Inventory Specialist,50280,2016-01-15,Chicago
1223,Amanda,Young,amanda.young@corp.com,Other,39,Customer Service,Support Agent,76983,2015-09-23,Denver
1224,Sabrina,Lee,sabrina.lee@corp.com,Female,54,Sales,Sales Executive,100813,2022-01-17,Austin
1225,David,Eaton,david.eaton@corp.com,Other,29,IT,Software Engineer,78343,2019-04-18,Seattle
1226,Allison,Johnson,allison.johnson@corp.com,Male,22,IT,DevOps Engineer,55430,2012-02-24,Seattle
1227,Jeffrey,Saunders,jeffrey.saunders@corp.com,Female,60,HR,HR Assistant,76085,2014-06-26,San Francisco
1228,Steven,Perez,steven.perez@corp.com,Female,41,HR,HR Manager,71466,2015-09-27,San Francisco
1229,Rebecca,Callahan,rebecca.callahan@corp.com,Male,55,Sales,Sales Executive,95926,2014-12-24,Seattle
1230,Heather,Rodriguez,heather.rodriguez@corp.com,Male,38,IT,Software Engineer,77839,2014-07-22,New York
1231,Eric,Smith,eric.smith@corp.com,Other,55,HR,HR Assistant,95630,2011-06-22,Chicago
1232,Lisa,Martin,lisa.martin@corp.com,Other,32,IT,System Administrator,44663,2022-09-14,Seattle
1233,George,Trujillo,george.trujillo@corp.com,Female,50,Finance,Financial Analyst,64752,2010-07-18,Boston
1234,Laura,Richards,laura.richards@corp.com,Other,41,Sales,Sales Executive,94093,2021-03-11,Austin
1235,Sean,Juarez,sean.juarez@corp.com,Other,30,Operations,Operations Manager,45979,2015-10-27,New York
1236,Danielle,Kim,danielle.kim@corp.com,Female,42,Finance,Payroll Specialist,112491,2012-06-17,Seattle
1237,Michelle,Ramirez,michelle.ramirez@corp.com,Other,52,Marketing,SEO Specialist,76433,2025-06-17,Austin
1238,David,Jacobs,david.jacobs@corp.com,Female,26,Customer Service,Call Center Operator,40323,2016-11-14,Chicago
1239,Amanda,Hopkins,amanda.hopkins@corp.com,Male,36,IT,DevOps Engineer,87338,2019-11-07,Boston
1240,Michael,Moran,michael.moran@corp.com,Male,22,IT,DevOps Engineer,46225,2012-11-22,New York
1241,Wendy,Patterson,wendy.patterson@corp.com,Other,35,HR,HR Assistant,65385,2013-02-24,Seattle
1242,Andres,Gill,andres.gill@corp.com,Female,42,Finance,Financial Analyst,50443,2021-08-17,Seattle
1243,Pamela,Jimenez,pamela.jimenez@corp.com,Other,22,Operations,Inventory Specialist,43420,2024-05-23,Chicago
1244,Christopher,Frost,christopher.frost@corp.com,Female,45,HR,HR Manager,79206,2024-09-22,New York
1245,Kenneth,Parsons,kenneth.parsons@corp.com,Female,59,HR,HR Assistant,111057,2010-11-12,San Francisco
1246,Emily,Bradley,emily.bradley@corp.com,Female,44,Sales,Account Manager,80434,2021-08-20,New York
1247,Matthew,Jones,matthew.jones@corp.com,Other,27,Customer Service,Call Center Operator,85296,2022-10-13,Denver
1248,Kayla,Trevino,kayla.trevino@corp.com,Male,41,Customer Service,Call Center Operator,45612,2016-06-21,Boston
1249,Tara,Smith,tara.smith@corp.com,Other,24,Marketing,SEO Specialist,91001,2010-07-16,Chicago
1250,Dawn,Walters,dawn.walters@corp.com,Female,40,Marketing,SEO Specialist,52249,2020-08-30,Chicago
